0.1	8.458661800626647	5.541877629265074
0.11	7.563232199574223	5.239706738063804
0.12	6.7577714793785475	4.929335149825351
0.13	6.0694187044960435	4.639573685275871
0.14	5.480539379938244	4.352696088494687
0.15	4.969426433468687	4.091699867315043
0.16	4.526659259290972	3.8530614114681914
0.17	4.1681179168803215	3.613580524601903
0.18	3.7917498536242737	3.424720422304043
0.19	3.4920885580712215	3.2307688701069113
0.2	3.2765338180265737	3.049794034127826
0.21	3.082076704376688	2.874183539067822
0.22	2.9033468397333855	2.7053721354340983
0.23	2.7414092699975474	2.545776044477492
0.24	2.5949618669369023	2.3968428894119658
0.25	2.475193190907412	2.2598817968295823
0.26	2.3679948443639547	2.1349679563278516
0.27	2.2744489920987268	2.0220074765116327
0.28	2.1895927834873934	1.920247582515514
0.29	2.111611582731732	1.8270273362232343
0.3	2.0430004581967474	1.7337207781297697
0.31	1.9760665785210778	1.6581353442479656
0.32	1.9151475484907285	1.5904505708739682
0.33	1.8591299155515881	1.5288798975227778
0.34	1.8095317986537365	1.4734231731315208
0.35000000000000003	1.7639435719249938	1.4233856384220618
0.36	1.7225754997423925	1.3778703431048696
0.37	1.6846661534706566	1.3369205742434127
0.38	1.6504199784377884	1.3003694547127953
0.39	1.6202324818062113	1.2675407187126797
0.4	1.5926787071293522	1.2388051947392957
0.41000000000000003	1.568110244578658	1.2133268734751923
0.42	1.5466294777722316	1.1911152982242772
0.43	1.5279367929432524	1.1717148967264106
0.44	1.5118441013994528	1.1552725749256711
0.45	1.4984615075984946	1.1415500258079574
0.46	1.4878603392895744	1.1305274168701593
0.47000000000000003	1.4795854825026016	1.1222359560197817
0.48	1.4736404296315453	1.1164602315080412
0.49	1.470407682711546	1.1130840252974221
0.5	1.4696199479299852	1.1120830899085992
